"Year","Category","Nominee","Won"
1943,"ACTRESS IN A SUPPORTING ROLE","The Song of Bernadette","no"
1943,"ACTRESS IN A SUPPORTING ROLE","So Proudly We Hail!","no"
1943,"ACTRESS IN A SUPPORTING ROLE","For Whom the Bell Tolls","yes"
1943,"ACTRESS IN A SUPPORTING ROLE","The Song of Bernadette","no"
1943,"ACTRESS IN A SUPPORTING ROLE","Watch on the Rhine","no"
1943,"DIRECTING","Casablanca","yes"
1943,"DIRECTING","Heaven Can Wait","no"
1943,"DIRECTING","The Human Comedy","no"
1943,"DIRECTING","The More the Merrier","no"
1943,"DIRECTING","The Song of Bernadette","no"
1943,"FILM EDITING","Air Force","yes"
1943,"FILM EDITING","Casablanca","no"
1943,"FILM EDITING","Five Graves to Cairo","no"
1943,"FILM EDITING","For Whom the Bell Tolls","no"
1943,"FILM EDITING","The Song of Bernadette","no"
1944,"ACTOR IN A LEADING ROLE","Gaslight","no"
1944,"ACTOR IN A LEADING ROLE","Going My Way","yes"
1944,"ACTOR IN A LEADING ROLE","Going My Way","no"
1944,"ACTOR IN A LEADING ROLE","None but the Lonely Heart","no"
1944,"ACTOR IN A LEADING ROLE","Wilson","no"
1944,"ACTOR IN A SUPPORTING ROLE","The Seventh Cross","no"
1944,"ACTOR IN A SUPPORTING ROLE","Going My Way","yes"
1944,"ACTOR IN A SUPPORTING ROLE","Mr. Skeffington","no"
1944,"ACTOR IN A SUPPORTING ROLE","Laura","no"
1944,"ACTOR IN A SUPPORTING ROLE","Since You Went Away","no"
1944,"ACTRESS IN A LEADING ROLE","Gaslight","yes"
1944,"ACTRESS IN A LEADING ROLE","Since You Went Away","no"
1944,"ACTRESS IN A LEADING ROLE","Mr. Skeffington","no"
1944,"ACTRESS IN A LEADING ROLE","Mrs. Parkington","no"
1944,"ACTRESS IN A LEADING ROLE","Double Indemnity","no"
1944,"ACTRESS IN A SUPPORTING ROLE","None but the Lonely Heart","yes"
1944,"ACTRESS IN A SUPPORTING ROLE","Since You Went Away","no"
1944,"ACTRESS IN A SUPPORTING ROLE","Gaslight","no"
1944,"ACTRESS IN A SUPPORTING ROLE","Dragon Seed","no"
1944,"ACTRESS IN A SUPPORTING ROLE","Mrs. Parkington","no"
1944,"DIRECTING","Double Indemnity","no"
1944,"DIRECTING","Going My Way","yes"
1944,"DIRECTING","Laura","no"
1944,"DIRECTING","Lifeboat","no"
1944,"DIRECTING","Wilson","no"
1944,"FILM EDITING","Going My Way","no"
1944,"FILM EDITING","Janie","no"
1944,"FILM EDITING","None but the Lonely Heart","no"
1944,"FILM EDITING","Since You Went Away","no"
1944,"FILM EDITING","Wilson","yes"
1944,"BEST PICTURE","Double Indemnity","no"
1944,"BEST PICTURE","Gaslight","no"
1944,"BEST PICTURE","Going My Way","yes"
1944,"BEST PICTURE","Since You Went Away","no"
1944,"BEST PICTURE","Wilson","no"
1945,"ACTOR IN A LEADING ROLE","The Bells of St. Mary's","no"
